Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGR	WAP	LBL
VANHOOF Ward	2	Team Flanders - Baloise	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
REINDERS Elmar	2	Unibet Rose Rockets	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0
MATTIO Pietro	2	Team Visma | Lease a Bike	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
BELMANS Lennert	2	Alpecin-Premier Tech	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
GIDDINGS Joshua	2	Lotto Intermarché	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0
RASENBERG Martijn	2	Unibet Rose Rockets	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0
STOCKMAN Abram	2	Unibet Rose Rockets	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0
MARSMAN Tim	2	Alpecin-Premier Tech	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0
GOGL Michael	2	Alpecin-Premier Tech	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0
VAN BELLE Loe	2	Team Visma | Lease a Bike	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATE Aaron	2	XDS Astana Team	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0
BÉVORT Carl-Frederik	2	Uno-X Mobility	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
VADIC Baptiste	2	TotalEnergies	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
RESELL Erik Nordsæter	2	Uno-X Mobility	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0
BOICHIS Adrien	2	Red Bull - BORA - hansgrohe	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE VRIES Hartthijs	2	Unibet Rose Rockets	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0
KOPECKÝ Tomáš	2	Unibet Rose Rockets	1	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0
SORARRAIN Gorka	2	Caja Rural - Seguros RGA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ROMMELAERE Iben	2	Tarteletto - Isorex	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PARISINI Nicolò	2	Pinarello Q36.5 Pro Cycling Team	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GACHIGNARD Thomas	2	TotalEnergies	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0
KOERDT Bjorn	2	Team Picnic PostNL	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0
BOULAHOITE Rayan	2	TotalEnergies	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0
PEDERSEN Henrik	2	Uno-X Mobility	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GUALDI Simone	2	Lotto Intermarché	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JOHANSEN Julius	2	UAE Team Emirates - XRG	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
KELEMEN Petr	2	Tudor Pro Cycling Team	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0
CHRISTIAN Sean	2	Modern Adventure Pro Cycling	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
MIKUTIS Aivaras	2	Tudor Pro Cycling Team	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0
SUNEKÆR NORSGAARD Mathias	2	Lidl - Trek	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0
MORO Manlio	2	Movistar Team	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BOARDMAN Samuel	2	Modern Adventure Pro Cycling	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DRIZNERS Jarrad	2	Red Bull - BORA - hansgrohe	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0
DE JONG Timo	2	Team Picnic PostNL	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERGAERDE Otto	2	Lidl - Trek	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0
OTRUBA Jakub	2	Caja Rural - Seguros RGA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1
LEROUX Samuel	2	TotalEnergies	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0
RENARD-HAQUIN Henri-François	2	Team Picnic PostNL	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0
BASTIAENS Ayco	2	Soudal - Quick Step	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROOSEN Timo	2	Team Picnic PostNL	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HEIDUK Kim	2	INEOS Grenadiers	1	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0
JOHANNINK Jelle	2	Unibet Rose Rockets	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0
TONEATTI Davide	2	XDS Astana Team	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
MILAN Matteo	2	Groupama - FDJ United	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Van den Haute Milan	2	Team Flanders - Baloise	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
VANDENBRANDEN Noah	2	Team Flanders - Baloise	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0
MULLEN Ryan	2	NSN Cycling Team	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GONOV Lev	2	XDS Astana Team	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAYER Alexandre	2	Burgos Burpellet BH	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0
BOUGLAS Georgios	2	Burgos Burpellet BH	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0
DE BUYST Jasper	2	Lotto Intermarché	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE POOTER Dries	2	Team Jayco AlUla	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0
BALLERSTEDT Maurice	2	Alpecin-Premier Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHARRET Camille	2	Cofidis	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0
TENE Rotem	2	NSN Cycling Team	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0
DEWEIRDT Siebe	2	Team Flanders - Baloise	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0
VANDENSTORME Dylan	2	Team Flanders - Baloise	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0
VERCOUILLIE Victor	2	Team Flanders - Baloise	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0
CORKERY Dillon	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
URIANSTAD BUGGE Martin	2	Uno-X Mobility	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
CORRES Gorka	2	Caja Rural - Seguros RGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IBÁÑEZ Javier	2	Caja Rural - Seguros RGA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Larronde Ellande	2	Caja Rural - Seguros RGA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VILLAR Iker	2	Caja Rural - Seguros RGA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BOWER Lewis	2	Groupama - FDJ United	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
RAISBERG Nadav	2	NSN Cycling Team	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
VERVENNE Jonathan	2	Soudal - Quick Step	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0
MCKENZIE Hamish	2	Team Jayco AlUla	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
KLUCKERS Arthur	2	Tudor Pro Cycling Team	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0
SVARRE Tobias	2	Uno-X Mobility	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAŁECKI Kamil	2	Pinarello Q36.5 Pro Cycling Team	1	1	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0
MACÍAS César	2	Burgos Burpellet BH	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0
SIMMONS Colby	2	EF Education - EasyPost	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0
KESSLER Cole	2	Modern Adventure Pro Cycling	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HVIDEBERG Jonas Hem	2	Uno-X Mobility	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
INGEBRIGTSEN Storm	2	Uno-X Mobility	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0
FLYNN Sean	2	Team Picnic PostNL	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0
VAN SINTMAARTENSDIJK Roel	2	Lotto Intermarché	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0
MCDONALD Brody	2	Modern Adventure Pro Cycling	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
MOONEN Zeno	2	Tarteletto - Isorex	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SANTY Arne	2	Tarteletto - Isorex	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0
VERMOOTE Jelle	2	Tarteletto - Isorex	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MARCEROU Nicola	2	TotalEnergies	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
BORGO Alessandro	2	Bahrain - Victorious	0	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0
MAAS Jan	2	Cofidis	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0
FONTAINE Titouan	2	Groupama - FDJ United	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
STEWART Mark	2	Modern Adventure Pro Cycling	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ROLLAND Brieuc	2	Groupama - FDJ United	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SHMIDT Artem	2	INEOS Grenadiers	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
PALETTI Luca	2	Bardiani CSF 7 Saber	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ISIDORE Noa	2	Decathlon CMA CGM Team	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
KOCKELMANN Mathieu	2	Lotto Intermarché	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERZOG Emil	2	Red Bull - BORA - hansgrohe	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHONDT Robbe	2	Team Picnic PostNL	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
REX Tim	2	Team Visma | Lease a Bike	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLOCK Liam	2	Lotto Intermarché	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRICE-PEJTERSEN Johan	2	Alpecin-Premier Tech	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caudell Ezra	2	Modern Adventure Pro Cycling	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
KMÍNEK Vojtěch	2	Burgos Burpellet BH	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0
O'BRIEN Kelland	2	Team Jayco AlUla	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0
DE PESTEL Sander	2	Decathlon CMA CGM Team	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0
FAGÚNDEZ Eric Antonio	2	Burgos Burpellet BH	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
DE LA CALLE Hugo	2	Burgos Burpellet BH	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
ZUKOWSKY Nickolas	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
BONNET Thomas	2	TotalEnergies	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
QUARTUCCI Lorenzo	2	Burgos Burpellet BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUDUS Merhawi	2	Burgos Burpellet BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOLENAAR Alex	2	Caja Rural - Seguros RGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
IZQUIERDO Clément	2	Cofidis	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0
SWIFT Ben	2	INEOS Grenadiers	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GELDERS Gil	2	Soudal - Quick Step	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
STERCK Joppe	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
LANHOVE Milan	2	Team Flanders - Baloise	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0
BELLETTA Dario Igor	2	Team Polti VisitMalta	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BYSTRØM Sven Erik	2	Uno-X Mobility	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
VINOKUROV Nicolas	2	XDS Astana Team	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
VAN BEKKUM Darren	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DE VYLDER Lindsay	2	Alpecin-Premier Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEBEAUMARCHÉ Nicolas	2	Cofidis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
MACKELLAR Alastair	2	EF Education - EasyPost	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
SCHWARZBACHER Matthias	2	EF Education - EasyPost	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0
VEISTROFFER Baptiste	2	Lotto Intermarché	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCALA Hugo	2	Modern Adventure Pro Cycling	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
WRIGHT Paul	2	Modern Adventure Pro Cycling	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
HOUCOU Emmanuel	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THORNLEY Callum	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KILLY Jonah	2	Tarteletto - Isorex	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0
MARCHAND Gianni	2	Tarteletto - Isorex	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
MARIS Elias	2	Team Flanders - Baloise	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0
SÜTTERLIN Jasha	2	Team Jayco AlUla	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0
MAESTRI Mirco	2	Team Polti VisitMalta	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DOULL Owain	2	Team Visma | Lease a Bike	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0
LE BERRE Mathis	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SU Haoyu	2	XDS Astana Team	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GRADEK Kamil	2	Bahrain - Victorious	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0
CAVIA Daniel	2	Burgos Burpellet BH	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0
ALLENO Clément	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
BOIVIN Guillaume	2	NSN Cycling Team	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
BURNETT Josh	2	Burgos Burpellet BH	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEMAN Brem	2	Team Flanders - Baloise	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
GEERAERTS Ferre	2	Team Flanders - Baloise	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0
HESTERS Jules	2	Team Flanders - Baloise	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0
MÄRKL Niklas	2	Team Picnic PostNL	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0
NABERMAN Tim	2	Team Picnic PostNL	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
BLOEM Joren	2	Unibet Rose Rockets	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0
VAN DEN BERG Julius	2	Team Picnic PostNL	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0
BRUTTOMESSO Alberto	2	Bahrain - Victorious	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
GRIGNARD Sébastien	2	Lotto Intermarché	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0
VANGHELUWE Warre	2	Soudal - Quick Step	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
LAURYSSEN Yorben	2	Tarteletto - Isorex	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
VAN PETEGEM Axandre	2	Tarteletto - Isorex	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HARTEEL Jelle	2	Tarteletto - Isorex	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TORNEY Artuur	2	Team Flanders - Baloise	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
THIERRY Pierre	2	TotalEnergies	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIHOLJEVIĆ Fran	2	Bahrain - Victorious	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
MÜHLBERGER Gregor	2	Decathlon CMA CGM Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PINARELLO Alessandro	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARTÍ Pau	2	NSN Cycling Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
HATHERLY Alan	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAFFURI Mattia	2	Team Picnic PostNL	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THALMANN Roland	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLIVAR Gal	2	Alpecin-Premier Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DOCKX Aaron	2	Alpecin-Premier Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MAGLI Filippo	2	Bardiani CSF 7 Saber	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOLIO Alex	2	Bardiani CSF 7 Saber	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turconi Filippo	2	Bardiani CSF 7 Saber	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MARTINELLI Alessio	2	Bardiani CSF 7 Saber	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stenico Mattia	2	Bardiani CSF 7 Saber	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L'HOTE Antoine	2	Decathlon CMA CGM Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SHAW James	2	EF Education - EasyPost	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GENIETS Kevin	2	Groupama - FDJ United	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
DONNENWIRTH Tom	2	Groupama - FDJ United	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAMILTON Lucas	2	INEOS Grenadiers	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
MOSCA Jacopo	2	Lidl - Trek	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FOX Matthew	2	Lotto Intermarché	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
THOMPSON Reuben	2	Lotto Intermarché	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCELLU Alessandro	2	MBH Bank CSB Telecom Fort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUDZIŃSKI Marcin	2	MBH Bank CSB Telecom Fort	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRETTI Luca	2	MBH Bank CSB Telecom Fort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DINA Márton	2	MBH Bank CSB Telecom Fort	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NESPOLI Lorenzo	2	MBH Bank CSB Telecom Fort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VERRE Alessandro	2	MBH Bank CSB Telecom Fort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOCCARATO Samuele	2	MBH Bank CSB Telecom Fort	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PESCADOR Diego	2	Movistar Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOVÁK Pavel	2	Movistar Team	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
SERRANO Gonzalo	2	Movistar Team	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0
TORRES Albert	2	Movistar Team	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0
CÔTÉ Pier-André	2	NSN Cycling Team	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
BENNETT George	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AZPARREN Xabier Mikel	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
BAX Sjoerd	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZWIEHOFF Ben	2	Red Bull - BORA - hansgrohe	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOSCON Gianni	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BONNEU Kamiel	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARCHIBOLD Franklin	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BALMER Alexandre	2	Solution Tech NIPPO Rali	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRANGER Ben	2	Solution Tech NIPPO Rali	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IACCHI Alessandro	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NENCINI Tommaso	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PIRAS Andrea	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REINDERINK Pepijn	2	Soudal - Quick Step	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0
VERVAEKE Louis	2	Soudal - Quick Step	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE PRETTO Davide	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
DINHAM Matthew	2	Team Picnic PostNL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
FAURE PROST Alexy	2	Team Picnic PostNL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
PEACE Oliver	2	Team Picnic PostNL	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0
Benito Adrián	2	Team Polti VisitMalta	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BESSEGA Gabriele	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUTTIGIEG Aidan	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Giuliano Dario	2	Team Polti VisitMalta	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MUÑOZ Francisco	2	Team Polti VisitMalta	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PIETROBON Andrea	2	Team Polti VisitMalta	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SEVILLA Diego Pablo	2	Team Polti VisitMalta	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAAT Tijmen	2	Team Visma | Lease a Bike	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VOISARD Yannis	2	Tudor Pro Cycling Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WARBASSE Larry	2	Tudor Pro Cycling Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WEISS Fabian	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WILKSCH Hannes	2	Tudor Pro Cycling Team	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WIRTGEN Luc	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
